threads, execution time (ms), speedup
1,698,0
1,662,1
2,328,2
3,400,1
4,271,2
5,251,2
6,208,3
7,231,3
8,191,3
9,187,3
10,165,4
11,170,4
12,155,4
13,112,6
14,118,5
15,97,7
16,93,7
17,84,8
18,108,6
19,95,7
20,54,12
21,51,13
22,53,13
23,78,8
24,59,11
25,51,13
26,43,16
27,27,25
28,33,21
29,36,19
30,15,46
31,31,22
32,35,19
33,34,20
34,25,27
35,10,69
36,50,13
37,42,16
38,27,25
39,31,22
40,21,33
41,19,36
42,25,27
43,11,63
44,33,21
45,23,30
46,17,41
47,8,87
48,15,46
49,17,41
50,25,27
51,15,46
52,20,34
53,22,31
54,24,29
55,20,34
56,7,99
57,40,17
58,6,116
59,35,19
60,13,53
61,12,58
62,7,99
63,8,87
64,14,49
65,25,27
66,11,63
67,26,26
68,27,25
69,17,41
70,20,34
71,18,38
72,26,26
73,18,38
74,13,53
75,24,29
76,17,41
77,15,46
78,19,36
79,17,41
80,28,24
81,23,30
82,19,36
83,17,41
84,19,36
85,7,99
86,12,58
87,11,63
88,12,58
89,6,116
90,11,63
91,13,53
92,19,36
93,8,87
94,8,87
95,9,77
96,8,87
97,11,63
98,19,36
99,10,69
100,18,38
